uuid,nome,cliente,regiao,status
cd7e904c-3d1a-4563-9471-8e258b3c3bc9,RUA MARCUS PEREIRA,Rua Marcus Pereira,ZONA SUL,ativo
8ed1ee9e-0618-4b2c-8a89-972908aa79ac,RUA MELO,RUA MELO,POSTOS DA GAP,inativo
00022368-a00f-41cc-9216-fa82cf5c3338,Rua Marcus P,Rua Marcus Pereira,POSTOS DA GAP,inativo
af231421-d228-4fb0-bbff-eef6b9837239,SAFIRA PREMUIM,Safira Premuim,CENTRO,ativo
6c404b58-60a8-4980-af6c-310336e33754,SHISEIDO DO BRASIL,Shiseido do Brasil,ZONA OESTE,ativo
5332bdbb-ad27-4866-1aac-f45033114dd8,Safira Premium - São Paulo,Safira Premium,POSTOS DA GAP,inativo
9a80ddb5-c476-403e-a1fa-4950f476b799,Suiça da Cantareira,Suiça da Cantareira,MAIRIPORÃ,inativo
dd8cfab9-e325-4165-9b1a-ea0f1fc8dcaa,SÃO MARTINHO,SÃO MARTINHO,CENTRO,ativo
ae59e541-4504-439f-b04f-6276c2b793e2,TESTE,TESTE,POSTOS DA GAP,inativo
e7034415-779f-4e72-b0fd-4b876cdfe460,TESTE - 01,TESTE - CLIENTE,TESTE - REGIÃO,inativo
6d3baae9-c5e1-4b7e-a535-077c483eb19d,TRAVESSIA,Travessia,POSTOS DA GAP,inativo
c1033006-04d9-49c8-959f-85e4e2281052,TRIOMPHE,CONDOMINIO TRIOMPHE,POSTOS DA GAP,inativo
29e23a38-1857-388b-184c-47c4b71dbcc7,TRIUMPHY,Triumphy,POSTOS DA GAP,inativo
22918280-4d3c-9928-a265-80a245e43949,Tabapuã,Tabapuã,POSTOS DA GAP,inativo
cd12f7f4-79ac-4af9-b2e2-a719f84878b5,Tabapuã.,Tabapuã,POSTOS DA GAP,inativo
fa2451fb-8ec1-a675-f756-e148c7a5e4ca,Terras Atibaia II - Atibaia,Terras Atibaia II,ATIBAIA / FRANCO DA ROCHA / MAIRIPORÃ,inativo
